"Timestamp","What is your gender? ","  What is your age range?  ","What level are you currently in?  ","What is your current CGPA range?  ","How many courses have you failed or are carrying over? ","What is your father's highest level of education?  ","What is your mother's highest level of education?","What is your family's approximate monthly income level?  ","How many people are financially dependent in your household (including you)?  ","How involved are your parents/guardians in your academic progress?  ","On average, how many hours do you spend studying per day (outside class)?  ","How often do you attend lectures?  ","How often do you read ahead before class?  ","How often do you use academic resources? (library, online journals, YouTube tutorials etc.)  ","How many hours do you sleep on average per night? ","Do you participate actively in group study or discussions?  ","How often do you practice past exam questions?  ","Do you engage in any part-time work or business while schooling?  ","How far do you live from your campus?  ","How stable is your internet access?  ","How would you describe your financial situation as a student?  ","Do you engage in extracurricular activities? (sports, fellowship, clubs etc.) ","How much do your family responsibilities affect your studies?  ","How would you rate your mental health and stress level as a student? ","Are you studying your current course out of personal interest? ","How would you rate your overall motivation to succeed academically?  ","How would you rate your own academic performance overall?  "
"2026/04/05 12:07:57 AM GMT+1","Female","16 – 19","100 Level","4.5 – 5.0 (First Class)","None","Postgraduate (MSc / PhD)","Postgraduate (MSc / PhD)","Above ₦500,000","1 – 3","Very involved — they follow up regularly","More than 4 hours","Always (90–100%)","Sometimes","Sometimes","4 – 6 hours","Occasionally","Always before exams","Yes, regularly (more than 3 days a week)","30 minutes – 1 hour away","Very stable","Comfortable — I rarely worry about money","Yes, heavily involved","Moderately","Moderate — manageable","Yes, it's my passion","Very high","Good"
"2026/04/05 6:29:33 AM GMT+1","Male","20 – 23","600 Level","2.5 – 3.4 (Second Class Lower)","None","Postgraduate (MSc / PhD)","Postgraduate (MSc / PhD)","₦300,000 – ₦500,000","1 – 3","Very involved — they follow up regularly","1 – 2 hours","Often (70–89%)","Rarely","Sometimes","4 – 6 hours","Occasionally","Sometimes","Yes, regularly (more than 3 days a week)","On campus","Unstable","Manageable — sometimes tight","Occasionally","Moderately","Very high — I struggle regularly","No — I had no other choice","Moderate","Good"
"2026/04/06 1:52:09 AM GMT+1","Female","20 – 23","500 Level","4.5 – 5.0 (First Class)","None","Postgraduate (MSc / PhD)","Postgraduate (MSc / PhD)","Above ₦500,000","7 – 10","Very involved — they follow up regularly","Less than 1 hour","Always (90–100%)","Sometimes","Very often","More than 8 hours","Occasionally","Always before exams","No","On campus","Mostly stable","Comfortable — I rarely worry about money","Yes, heavily involved","Not at all","Low — I cope very well","Partially — some interest","Moderate","Good"
"2026/04/06 7:14:51 PM GMT+1","Female","20 – 23","500 Level","3.5 – 4.4 (Second Class Upper)","None","Postgraduate (MSc / PhD)","Secondary school","Above ₦500,000","1 – 3","Very involved — they follow up regularly","3 – 4 hours","Often (70–89%)","Rarely","Sometimes","Less than 4 hours","Occasionally","Always before exams","No","On campus","Mostly stable","Manageable — sometimes tight","Yes, heavily involved","Slightly","Moderate — manageable","Partially — some interest","Moderate","Good"
"2026/04/06 7:56:25 PM GMT+1","Female","20 – 23","400 Level","3.5 – 4.4 (Second Class Upper)","None","Bachelor's degree","Bachelor's degree","Above ₦500,000","4 – 6","Very involved — they follow up regularly","3 – 4 hours","Often (70–89%)","Sometimes","Sometimes","4 – 6 hours","Yes, regularly","Always before exams","Yes, regularly (more than 3 days a week)","On campus","Unstable","Manageable — sometimes tight","Yes, heavily involved","Slightly","Moderate — manageable","No — I had no other choice","Very high","Good"
"2026/04/07 6:11:54 AM GMT+1","Female","20 – 23","200 Level","3.5 – 4.4 (Second Class Upper)","None","Bachelor's degree","OND / NCE","₦300,000 – ₦500,000","4 – 6","Very involved — they follow up regularly","1 – 2 hours","Often (70–89%)","Rarely","Very often","4 – 6 hours","No","Always before exams","No","Less than 30 minutes away","Unstable","Difficult — it regularly affects my studies","No","Moderately","High — it affects my studies","Partially — some interest","High","Good"
"2026/04/07 9:10:51 AM GMT+1","Female","16 – 19","200 Level","3.5 – 4.4 (Second Class Upper)","None","Postgraduate (MSc / PhD)","Bachelor's degree","Above ₦500,000","1 – 3","Somewhat involved","3 – 4 hours","Sometimes (50–69%)","Rarely","Sometimes","4 – 6 hours","Occasionally","Always before exams","No","On campus","Unstable","Manageable — sometimes tight","No","Not at all","High — it affects my studies","Partially — some interest","Moderate","Good"
"2026/04/07 9:31:16 AM GMT+1","Female","16 – 19","200 Level","3.5 – 4.4 (Second Class Upper)","None","Postgraduate (MSc / PhD)","Postgraduate (MSc / PhD)","₦300,000 – ₦500,000","1 – 3","Very involved — they follow up regularly","Less than 1 hour","Always (90–100%)","Rarely","Sometimes","4 – 6 hours","No","Rarely","Occasionally (1 – 2 days a week)","Less than 30 minutes away","Very stable","Manageable — sometimes tight","No","Not at all","Low — I cope very well","Partially — some interest","High","Good"
"2026/04/07 10:42:07 AM GMT+1","Female","20 – 23","500 Level","3.5 – 4.4 (Second Class Upper)","None","Secondary school","Secondary school","₦50,000 – ₦150,000","4 – 6","Somewhat involved","Less than 1 hour","Always (90–100%)","Never","Never","6 – 8 hours","Occasionally","Rarely","No","On campus","Unstable","Manageable — sometimes tight","Occasionally","Not at all","Moderate — manageable","Partially — some interest","Moderate","Good"
"2026/04/07 12:56:03 PM GMT+1","Male","16 – 19","100 Level","3.5 – 4.4 (Second Class Upper)","None","Postgraduate (MSc / PhD)","Secondary school","₦300,000 – ₦500,000","More than 10","Not involved at all","1 – 2 hours","Always (90–100%)","Never","Very often","4 – 6 hours","Occasionally","Never","No","On campus","Mostly stable","Manageable — sometimes tight","Occasionally","Slightly","Moderate — manageable","Yes, it's my passion","Moderate","Average"
"2026/04/07 12:59:13 PM GMT+1","Female","16 – 19","200 Level","4.5 – 5.0 (First Class)","None","Postgraduate (MSc / PhD)","Bachelor's degree","Above ₦500,000","1 – 3","Very involved — they follow up regularly","1 – 2 hours","Always (90–100%)","Rarely","Very often","More than 8 hours","Yes, regularly","Rarely","Occasionally (1 – 2 days a week)","Less than 30 minutes away","Very stable","Manageable — sometimes tight","Occasionally","Not at all","Low — I cope very well","Yes, it's my passion","Very high","Good"
"2026/04/07 1:14:43 PM GMT+1","Male","20 – 23","200 Level","3.5 – 4.4 (Second Class Upper)","None","OND / NCE","Bachelor's degree","Above ₦500,000","More than 10","Very involved — they follow up regularly","1 – 2 hours","Always (90–100%)","Sometimes","Rarely","Less than 4 hours","Occasionally","Never","No","30 minutes – 1 hour away","Mostly stable","Manageable — sometimes tight","Occasionally","Slightly","Moderate — manageable","Partially — some interest","Moderate","Good"
